song_id,song,artist,reentry_date,previous_rank,reentry_rank,rank_jump,previous_popularity,reentry_popularity,popularity_change,popularity_change_rate,peak_rank_after_reentry,peak_date,peak_improvement,retention_days,rank_recovery_speed,rank_volatility,momentum_score
My You - Jung Kook,My You,Jung Kook,2024-08-03,50,47,3,86,85,-1,-1.1627906976744187,47,2024-08-03,0,60,0.0,1.4142135623730951,0.8999999999999999
Father - Lim Young Woong,Father,Lim Young Woong,2025-01-22,42,42,0,59,59,0,0.0,39,2025-01-27,3,37,0.6,3.1701083225750355,0.87
T.B.H - QWER,T.B.H,QWER,2025-10-10,49,50,-1,59,59,0,0.0,47,2025-10-15,3,9,0.6,1.0897247358851685,0.87
Lilith (feat. SUGA of BTS) (Diablo IV Anthem) - Halsey & SUGA,Lilith (feat. SUGA of BTS) (Diablo IV Anthem),Halsey & SUGA,2024-08-25,46,50,-4,80,80,0,0.0,47,2024-08-30,3,20,0.6,1.0671873729054748,0.87
If We Ever Meet Again - Lim Young Woong,If We Ever Meet Again,Lim Young Woong,2025-03-26,26,24,2,60,59,-1,-1.6666666666666667,23,2025-05-07,1,200,0.023809523809523808,3.370290087111561,0.8547619047619047
Like Crazy (Deep House Remix) - Jimin,Like Crazy (Deep House Remix),Jimin,2024-07-03,39,49,-10,71,71,0,0.0,46,2024-07-09,3,7,0.5,0.0,0.85
Do or Die - Lim Young Woong,Do or Die,Lim Young Woong,2025-07-12,21,22,-1,62,62,0,0.0,19,2025-07-18,3,131,0.5,2.475804436943296,0.85
Sunflower - Spider-Man: Into the Spider-Verse - Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2024-07-16,49,50,-1,89,89,0,0.0,47,2024-07-22,3,71,0.5,0.816496580927726,0.85
If We Ever Meet Again - Lim Young Woong,If We Ever Meet Again,Lim Young Woong,2025-07-12,32,32,0,57,57,0,0.0,29,2025-07-18,3,92,0.5,3.3242278355250168,0.85
Hype Boy - NewJeans,Hype Boy,NewJeans,2025-09-07,47,46,1,79,79,0,0.0,44,2025-09-16,2,37,0.2222222222222222,2.7950849718747373,0.8444444444444444
Home - Lim Young Woong,Home,Lim Young Woong,2025-07-12,19,19,0,65,65,0,0.0,16,2025-07-19,3,134,0.42857142857142855,2.8512394921281876,0.8357142857142857
Sudden Shower - ECLIPSE,Sudden Shower,ECLIPSE,2025-07-12,36,38,-2,78,78,0,0.0,35,2025-07-20,3,22,0.375,3.672537044696922,0.825
FRI(END)S - V,FRI(END)S,V,2025-07-12,44,48,-4,89,89,0,0.0,45,2025-07-20,3,11,0.375,2.0303814862216996,0.825
Armageddon - aespa,Armageddon,aespa,2025-07-12,17,16,1,79,79,0,0.0,14,2025-08-15,2,139,0.058823529411764705,3.3310761274143132,0.8117647058823529
Like Crazy (English Version) - Jimin,Like Crazy (English Version),Jimin,2025-03-02,5,4,1,81,81,0,0.0,2,2025-05-09,2,144,0.029411764705882353,2.503670774470712,0.8058823529411765
Closer Than This - Jimin,Closer Than This,Jimin,2025-03-26,7,6,1,85,85,0,0.0,4,2025-07-18,2,247,0.017543859649122806,1.2451666835703923,0.8035087719298246
Standing Next to You - Jung Kook,Standing Next to You,Jung Kook,2025-03-03,8,8,0,95,95,0,0.0,5,2025-03-15,3,270,0.25,1.150380313853003,0.8
Candy (Feat. Zion.T) - Jay Park,Candy (Feat. Zion.T),Jay Park,2024-06-05,45,45,0,63,65,2,3.1746031746031744,45,2024-06-05,0,5,0.0,0.0,0.7936507936507936
Rebirth (Intro) - Jimin,Rebirth (Intro),Jimin,2025-08-14,9,10,-1,79,79,0,0.0,7,2025-08-28,3,106,0.21428571428571427,1.861021590563693,0.7928571428571428
Bam Yang Gang - BIBI,Bam Yang Gang,BIBI,2025-03-02,4,5,-1,74,75,1,1.3513513513513513,4,2025-03-03,1,67,1.0,2.176324628562772,0.7878378378378379
Hype Boy - NewJeans,Hype Boy,NewJeans,2025-08-31,44,47,-3,79,79,0,0.0,44,2025-09-16,3,44,0.1875,2.7275348516163835,0.7875
Face-off - Jimin,Face-off,Jimin,2025-03-26,24,25,-1,76,75,-1,-1.3157894736842104,22,2025-04-17,3,117,0.13636363636363635,4.747125121764121,0.7772727272727272
Alone - Jimin,Alone,Jimin,2025-03-26,21,23,-2,76,76,0,0.0,20,2025-04-17,3,117,0.13636363636363635,5.197561778132127,0.7772727272727272
Love Station - Lim Young Woong,Love Station,Lim Young Woong,2024-11-20,50,50,0,55,56,1,1.8181818181818181,49,2024-11-23,1,16,0.3333333333333333,0.816496580927726,0.7712121212121212
Warmth - Lim Young Woong,Warmth,Lim Young Woong,2025-07-12,18,18,0,65,65,0,0.0,15,2025-08-22,3,136,0.07317073170731707,2.7930174982556286,0.7646341463414634
Drama - aespa,Drama,aespa,2025-07-12,50,50,0,82,82,0,0.0,47,2025-10-12,3,93,0.03260869565217391,0.48989794855663565,0.7565217391304347
Nest - Lim Young Woong,Nest,Lim Young Woong,2025-01-03,50,49,1,55,56,1,1.8181818181818181,49,2025-01-03,0,9,0.0,0.0,0.7545454545454545
Closer Than This - Jimin,Closer Than This,Jimin,2025-03-02,7,7,0,89,89,0,0.0,4,2025-07-18,3,271,0.021739130434782608,1.2131154303818767,0.7543478260869565
Beautiful Things - Benson Boone,Beautiful Things,Benson Boone,2025-03-15,22,21,1,100,100,0,0.0,20,2025-03-16,1,47,1.0,1.8991876105974665,0.75
"Our Blues, Our Life - Lim Young Woong","Our Blues, Our Life",Lim Young Woong,2025-03-15,38,37,1,58,58,0,0.0,36,2025-03-16,1,153,1.0,3.019205709782167,0.75
