artist,songs,chart_entries,avg_rank,best_rank,avg_popularity,peak_popularity,chart_strength,fandom_intensity,fandom_rank
WJSN,1,2,39.0,39,52.5,53,57.25,62.89555352624929,174
aespa & Grimes & Flava D,2,3,28.0,17,12.0,36,42.5,58.917510347595346,175
Drake & SZA,1,2,39.0,37,37.5,75,49.75,54.65596136123846,176
Drake,1,1,36.0,36,84.0,84,74.5,51.63946495171592,177
Stray Kids & Charlie Puth,1,1,29.0,29,71.0,71,71.5,49.56002341003609,178
The Weeknd & Playboi Carti & Madonna,1,1,42.0,42,75.0,75,67.0,46.44086109751633,179
Linkin Park,1,1,46.0,46,78.0,78,66.5,46.09428750723636,180
Lil Uzi Vert,1,1,48.0,48,79.0,79,66.0,45.747713916956386,181
JIN,1,1,50.0,50,79.0,79,65.0,45.054566736396445,182
KingLee,1,1,29.0,29,51.0,51,61.5,42.62855160443664,183
Fast & Furious: The Fast Saga,1,1,7.0,7,27.0,27,60.5,41.93540442387669,184
Younha,1,1,50.0,50,64.0,64,57.5,39.855962882196856,185
$ecrecy,1,1,34.0,34,38.0,38,52.5,36.39022697939713,186
CHANGMO,1,1,50.0,50,45.0,45,48.0,33.27106466687737,187
Beat Record,1,1,8.0,8,0.0,0,46.5,32.23134389603746,188
EDES,1,2,44.5,39,1.0,1,28.75,31.585103299208157,189
The Kid LAROI,1,1,49.0,49,35.0,35,43.5,30.15190235435762,190
Sung Si Kyung & Naul,1,1,36.0,36,0.0,0,32.5,22.527283368198223,191
SZA & Justin Bieber,1,1,43.0,43,0.0,0,29.0,20.101268236238415,192
Ebstar,1,1,45.0,45,1.0,1,28.5,19.75469464595844,193
aespa & Nitepunk,1,1,44.0,44,0.0,0,28.5,19.75469464595844,194
