song_id,song,artist,comeback_number,reentry_date,reentry_rank,reentry_popularity,peak_rank,peak_date,retention_days,average_rank,average_popularity,rank_decay,days_to_peak,rank_recovery_speed,rank_stability,first_entry_rank,first_entry_popularity,first_entry_peak_rank,first_entry_retention_days,first_entry_average_rank,first_entry_average_popularity,rank_improvement_vs_first_entry,peak_improvement_vs_first_entry,retention_change_vs_first_entry
Cruel Summer - Taylor Swift,Cruel Summer,Taylor Swift,4,2024-10-24,50,100,50,2024-10-24,2,50.0,100.0,0,0,0.0,0.0,38,97,35,3,36.666666666666664,97.0,-12,-15,-1
Cruel Summer - Taylor Swift,Cruel Summer,Taylor Swift,5,2024-12-28,48,95,22,2025-02-21,63,37.44444444444444,98.61904761904762,9,55,0.4727272727272727,6.275342884290242,38,97,35,3,36.666666666666664,97.0,-10,13,60
Cruel Summer - Taylor Swift,Cruel Summer,Taylor Swift,6,2025-03-02,31,99,26,2025-03-08,12,29.166666666666668,98.41666666666667,3,6,0.8333333333333334,1.992409839791244,38,97,35,3,36.666666666666664,97.0,7,9,9
Cruel Summer - Taylor Swift,Cruel Summer,Taylor Swift,7,2025-03-15,24,98,24,2025-03-15,10,28.7,97.2,6,0,0.0,3.0203016773531446,38,97,35,3,36.666666666666664,97.0,14,11,7
Cruel Summer - Taylor Swift,Cruel Summer,Taylor Swift,8,2025-03-26,29,97,29,2025-03-26,30,38.6,96.3,19,0,0.0,4.311972106620805,38,97,35,3,36.666666666666664,97.0,9,6,27
Cruel Summer - Taylor Swift,Cruel Summer,Taylor Swift,9,2025-04-26,46,96,46,2025-04-26,2,47.0,96.0,2,0,0.0,1.4142135623730951,38,97,35,3,36.666666666666664,97.0,-8,-11,-1
Cruel Summer - Taylor Swift,Cruel Summer,Taylor Swift,10,2025-06-12,50,88,49,2025-06-14,4,49.5,88.0,0,2,0.5,0.5773502691896257,38,97,35,3,36.666666666666664,97.0,-12,-14,1
Cruel Summer - Taylor Swift,Cruel Summer,Taylor Swift,11,2025-06-17,47,88,45,2025-06-20,5,46.0,88.4,0,3,0.6666666666666666,1.0,38,97,35,3,36.666666666666664,97.0,-9,-10,2
Cruel Summer - Taylor Swift,Cruel Summer,Taylor Swift,12,2025-07-31,50,92,47,2025-08-04,5,48.2,92.6,0,4,0.75,1.0954451150103321,38,97,35,3,36.666666666666664,97.0,-12,-12,2
Cruel Summer - Taylor Swift,Cruel Summer,Taylor Swift,13,2025-08-07,48,92,44,2025-08-10,6,45.666666666666664,92.33333333333333,2,3,1.3333333333333333,1.632993161855452,38,97,35,3,36.666666666666664,97.0,-10,-9,3
Cruel Summer - Taylor Swift,Cruel Summer,Taylor Swift,14,2025-08-14,41,93,39,2025-08-15,10,42.4,92.3,8,1,2.0,2.756809750418044,38,97,35,3,36.666666666666664,97.0,-3,-4,7
Cruel Summer - Taylor Swift,Cruel Summer,Taylor Swift,15,2025-08-25,47,92,47,2025-08-25,3,47.0,92.0,0,0,0.0,0.0,38,97,35,3,36.666666666666664,97.0,-9,-12,0
Cruel Summer - Taylor Swift,Cruel Summer,Taylor Swift,16,2025-08-31,43,92,43,2025-08-31,1,43.0,92.0,0,0,0.0,0.0,38,97,35,3,36.666666666666664,97.0,-5,-8,-2
Cruel Summer - Taylor Swift,Cruel Summer,Taylor Swift,17,2025-09-18,49,92,49,2025-09-18,1,49.0,92.0,0,0,0.0,0.0,38,97,35,3,36.666666666666664,97.0,-11,-14,-2
